"x","y"
810.40623618,1152.8094581
850.90623618,1212.8094581
820.40623618,1262.8094581
889.59373618,1072.8094581
829.59373618,272.8094581
1690.40623618,192.8094581
1570.40623618,132.8094581
800.00003618,313.6219581
780.40628618,422.8094581
470.40623618,572.8094581
800.00003618,353.6219581
740.00003618,333.6219581
872.40623618,1200.8094581
1721.21873618,171.9969581
1600.81253618,282.8094581
520.00003618,1173.6219581
409.59373618,612.8094581
480.00003618,1293.6219581
540.00003618,333.6219581
380.00003618,343.6219581
539.59373618,72.8094581
1180.40623618,542.8094081
1070.40623618,642.8094581
830.00003618,883.6219581
859.59373618,782.8094581
920.40628618,842.8094581
620.40628618,1312.8094581
1390.40623618,952.8094581
1410.40623618,642.8094581
890.40628618,1342.8094581
1110.40623618,582.8094581
